Framenum, Queue Density, Dynamic Density
1637, 0.393841, 0.482229
1640, 0.392156, 0.478557
1643, 0.395973, 0.469277
1646, 0.394876, 0.452912
1649, 0.38366, 0.446435
1652, 0.377747, 0.44455
1655, 0.377743, 0.438045
1658, 0.377567, 0.431892
1661, 0.374647, 0.419321
1664, 0.382504, 0.421598
1667, 0.387489, 0.422092
1670, 0.387618, 0.412855
1673, 0.390083, 0.405601
1676, 0.397345, 0.407835
1679, 0.412479, 0.416711
1682, 0.426194, 0.413145
1685, 0.433652, 0.416354
1688, 0.433675, 0.404304
1691, 0.436532, 0.410614
1694, 0.437943, 0.408062
1697, 0.449695, 0.403046
1700, 0.456545, 0.401855
1703, 0.454786, 0.393289
1706, 0.450765, 0.398411
1709, 0.420939, 0.392262
1712, 0.391443, 0.38337
1715, 0.394198, 0.373174
1718, 0.390534, 0.365282
1721, 0.381145, 0.338681
1724, 0.37344, 0.330793
1727, 0.379362, 0.320267
1730, 0.382234, 0.308617
1733, 0.378742, 0.333034
1736, 0.359184, 0.339112
1739, 0.35541, 0.336726
1742, 0.345962, 0.328101
1745, 0.331569, 0.314734
1748, 0.324742, 0.304498
1751, 0.315635, 0.30027
1754, 0.314871, 0.301202
1757, 0.304032, 0.301763
1760, 0.295058, 0.281742
1763, 0.27207, 0.277012
1766, 0.274222, 0.290328
1769, 0.275899, 0.297617
1772, 0.283721, 0.302006
1775, 0.288, 0.30208
1778, 0.291993, 0.287342
1781, 0.289662, 0.278885
1784, 0.28463, 0.272972
1787, 0.262371, 0.254338
1790, 0.249424, 0.239886
1793, 0.245176, 0.246967
1796, 0.251783, 0.2554
1799, 0.254268, 0.278317
1802, 0.254322, 0.286813
1805, 0.259573, 0.281667
1808, 0.260761, 0.287984
1811, 0.254894, 0.281679
1814, 0.249624, 0.272936
1817, 0.236378, 0.2822
1820, 0.230978, 0.29097
1823, 0.23034, 0.297217
1826, 0.233874, 0.29976
1829, 0.245368, 0.309663
1832, 0.238561, 0.299709
1835, 0.231915, 0.276871
1838, 0.226527, 0.265938
1841, 0.217369, 0.252042
1844, 0.200647, 0.231856
1847, 0.182237, 0.204276
1850, 0.160026, 0.172997
1853, 0.143892, 0.147364
1856, 0.134675, 0.146921
1859, 0.131105, 0.163846
1862, 0.138473, 0.169419
1865, 0.147944, 0.177268
1868, 0.160288, 0.191101
1871, 0.168608, 0.204723
1874, 0.172436, 0.214453
1877, 0.180199, 0.226358
1880, 0.184702, 0.246508
1883, 0.194275, 0.269801
1886, 0.216072, 0.292044
1889, 0.233051, 0.314589
1892, 0.239028, 0.326635
1895, 0.232272, 0.339034
1898, 0.243875, 0.362162
1901, 0.271686, 0.374777
1904, 0.307774, 0.389472
1907, 0.311399, 0.38774
1910, 0.301426, 0.359172
1913, 0.291688, 0.336244
1916, 0.294638, 0.342102
1919, 0.291441, 0.336287
1922, 0.278364, 0.313977
1925, 0.27082, 0.311548
1928, 0.270754, 0.309918
1931, 0.260812, 0.283564
1934, 0.245795, 0.265706
1937, 0.221895, 0.236994
1940, 0.215111, 0.217565
1943, 0.201071, 0.193735
1946, 0.189428, 0.170316
1949, 0.164517, 0.139225
1952, 0.120376, 0.103635
1955, 0.0877406, 0.0718932
1958, 0.0679275, 0.0459316
1961, 0.0505008, 0.0264868
1964, 0.0352256, 0.0175599
